N,P,K,temperature,humidity,ph,rainfall,label
111,5,50,27.59350075,91.79742953,6.399891457,24.84266123,muskmelon
17,74,17,26.03026959,69.55863145,7.393210848,37.11395801,lentil
20,28,26,26.37978453,91.49882979,5.547594847,167.0470997,coconut
91,38,36,26.5232969,77.17331847,7.287318723,157.8548562,jute
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
29,140,195,23.64082979,90.95257927,5.560521058,116.7431319,apple
80,16,46,25.50405534,81.40297428,6.940236218,48.47833278,watermelon
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice
65,63,50,31.88342554,91.3256535,6.524459342,79.27201575,papaya
27,60,17,26.41768321,63.64698302,7.026795359,64.42177127,blackgram
34,75,24,23.50222822,51.29019509,4.760038039,192.3023991,pigeonpeas
23,23,27,34.72413192,51.4271781,5.161148592,97.31258083,mango
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,mungbean
18,14,11,28.04799508,90.00621688,6.550814117,117.1311498,orange
39,132,196,35.83089092,83.32560104,5.778594403,73.67984885,grapes
54,65,47,27.92765919,91.55594211,6.721835879,149.9107557,papaya
115,9,52,29.06785065,90.97685539,6.019372459,29.1194739,muskmelon
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana
82,25,51,24.31334971,87.47409052,6.074209622,48.11248366,watermelon
34,68,51,27.34734861,94.17756725,6.687088098,40.35153141,papaya
28,7,9,34.5917846,92.13229786,6.730757538,115.5650287,orange
18,66,22,25.87990287,67.55109024,6.347379185,47.89645224,lentil
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,mungbean
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,kidneybeans
62,49,37,24.21744605,82.85284045,7.479248124,166.1365886,jute
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,grapes
28,79,16,24.70626432,60.26854183,6.052184881,53.12442925,lentil
82,46,41,23.3250131,79.79609448,6.581693772,187.3096148,jute
43,64,47,38.58954491,91.58076549,6.825664782,102.2708231,papaya
114,20,26,25.55656667,62.67087838,7.27905689,193.5866233,coffee
16,145,199,26.91624843,80.76838926,5.953966361,69.30927185,grapes
88,50,40,25.63215038,79.95150917,7.051822472,182.2582277,jute
115,31,30,24.22984659,67.37768353,6.840927967,122.4073418,coffee
22,55,24,28.56800579,57.30636014,8.66077954,64.53027638,mothbeans
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
80,18,31,24.02952505,58.84880599,7.303033217,134.6803969,coffee
19,24,15,20.48954522,93.72485075,7.137136973,111.8391951,orange
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean
69,67,52,27.71948962,94.43877142,6.827305908,82.83061083,papaya
34,68,51,27.34734861,94.17756725,6.687088098,40.35153141,papaya
13,28,33,28.130115,95.64807631,5.686972967,151.0761899,coconut
70,54,46,39.73149053,91.12220596,6.919342407,122.7628653,papaya
1,6,35,27.02269204,95.71935435,6.231662767,147.1682459,coconut
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram
36,55,20,27.01470397,84.34262707,6.635968698,55.296354,mungbean
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean
66,47,36,24.85441411,74.4407048,6.57256106,175.572958,jute
2,21,35,25.02887163,91.53720922,6.293662363,179.8248944,coconut
39,52,53,32.51247398,94.65904123,6.704204398,51.07048113,papaya
19,123,200,34.76086052,81.03544763,6.167013532,65.70430027,grapes
107,5,52,26.6634609,89.98405233,6.881425746,57.40847165,watermelon
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
34,6,27,25.84726298,90.92669463,5.860740481,147.8888994,coconut
34,59,18,23.38002569,21.98879437,5.744117663,87.66898664,kidneybeans
33,14,35,27.14865285,96.66355213,6.027707171,149.2433497,coconut
53,55,55,33.32315744,91.25271223,6.709668804,234.496633,papaya
5,8,5,11.03367937,92.22706805,6.562594972,112.7715925,orange
28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
23,21,26,26.45488737,93.45042636,5.901495544,149.2220255,coconut
29,63,17,30.02629908,67.88811637,7.26154329,66.47264636,blackgram
24,80,22,16.71170642,19.17651433,5.635993966,96.77285817,kidneybeans
3,141,197,21.98141856,91.12719303,6.142803397,115.4789148,apple
34,59,18,23.38002569,21.98879437,5.744117663,87.66898664,kidneybeans
24,6,32,28.11321494,90.01734526,6.387067562,172.4813641,coconut
88,21,27,24.43011925,66.02411187,7.231166546,181.6368274,coffee
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,banana
38,21,35,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate
40,5,29,28.48444906,97.76865458,5.820978791,160.389421,coconut
26,126,195,21.41363812,92.99124545,5.878568981,118.3979065,apple
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,apple
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
107,22,54,27.99611732,90.84660317,6.630301421,21.61893763,muskmelon
30,60,21,28.87667593,62.4901206,5.457871273,182.2688175,pigeonpeas
93,94,53,25.86632408,84.42379269,6.079178788,114.5357503,banana
37,73,21,29.50304807,63.46513414,5.560224583,189.5208915,pigeonpeas
109,23,25,25.11711046,68.48030408,7.00733163,194.8773479,coffee
99,40,32,24.18471151,69.94807345,7.045543056,163.2708732,coffee
117,24,53,29.17220859,92.21405224,6.293486295,21.30290472,muskmelon
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,chickpea
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice
13,73,20,30.50420876,35.48885969,5.391560418,162.5927723,pigeonpeas
44,47,45,38.73218907,94.73613484,6.579441304,218.142147,papaya
1,132,200,16.27852801,82.94270065,5.620745638,66.57462809,grapes
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana
101,92,45,28.22776705,80.6430384,5.758054257,98.00403016,banana
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,watermelon
22,28,26,27.67256197,45.41692012,4.947683034,92.84991507,mango
132,52,19,24.16402322,76.7433897,6.436691764,61.94626051,cotton
94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,banana
2,21,35,25.02887163,91.53720922,6.293662363,179.8248944,coconut
45,57,47,23.16855863,90.78821158,6.656458831,161.6892093,papaya
23,138,195,22.49095104,91.70292746,5.795985716,124.3915101,apple
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton
120,20,45,25.66576039,88.6984228,6.114128685,54.22722466,watermelon
38,61,52,31.22790131,94.94021378,6.620729882,46.44279118,papaya
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea
95,26,45,29.91690582,94.55695552,6.117530021,28.16057247,muskmelon
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize
57,64,55,26.68386496,92.9585411,6.583760499,62.50689682,papaya
30,30,35,25.00872392,95.59224018,6.001936419,165.8092179,coconut
109,10,53,26.81938687,87.8274604,6.551750306,46.06193778,watermelon
37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,lentil
100,40,20,22.45145981,76.25674874,7.432043735,86.84998693,cotton
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
39,65,23,25.43459777,69.12613376,7.685959305,41.02682925,lentil
13,28,33,28.130115,95.64807631,5.686972967,151.0761899,coconut
36,54,46,42.54744013,94.94482086,6.662875839,214.4103848,papaya
95,12,51,25.76484262,84.1726996,6.681606702,44.22066914,watermelon
22,44,24,24.30935081,56.32938343,6.030447288,58.99536268,mothbeans
140,38,15,24.1472953,75.88298598,6.021439523,69.91563467,cotton
120,19,49,25.79448878,84.26830701,6.762471629,56.45229202,watermelon
107,38,29,26.65069302,57.56695719,6.35118177,145.105065,coffee
28,57,17,30.47757686,61.58245338,9.416003106,61.86633917,mothbeans
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
13,22,5,19.667056,90.50096668,7.764040111,100.1737964,orange
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
16,75,21,18.50692825,23.61670065,5.679224346,87.0513289,kidneybeans
14,21,35,29.52501367,91.91185319,6.121005506,194.3100272,coconut
34,62,55,27.58548913,90.72526502,6.585346229,238.5008779,papaya
39,65,53,35.33294932,92.11508608,6.560743093,235.6133585,papaya
35,41,18,28.70562673,81.59200689,6.705008504,59.87065439,mungbean
61,64,52,43.30204933,92.83405443,6.641098708,110.562229,papaya
101,25,52,29.09910406,94.22237826,6.750145572,22.52497327,muskmelon
29,41,21,31.49398069,62.84916863,8.86979671,64.56807592,mothbeans
11,124,204,13.42988625,80.06633966,6.361141107,71.40043037,grapes
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize
31,5,14,17.66545409,91.69865887,6.583411671,110.6857506,orange
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana
75,41,35,24.97042599,78.62697699,6.856833064,166.6415254,jute
118,31,34,27.54823036,62.88179198,6.123796057,181.4170812,coffee
84,55,38,26.8748389,79.78725152,6.956682743,173.1017097,jute
34,47,19,27.31372793,85.44815232,6.568795404,53.15223123,mungbean
