N,P,K,temperature,humidity,ph,rainfall,label
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
107,5,52,26.6634609,89.98405233,6.881425746,57.40847165,watermelon
58,61,15,30.94908189,64.23364112,7.402891666,62.78730907,blackgram
37,49,25,29.9145443,85.85384444,6.415459592,41.39081525,mungbean
22,11,29,28.03380598,95.01630593,5.955742971,218.0055713,coconut
9,49,16,30.88482722,41.36561835,7.661537348,55.053805,mothbeans
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
115,31,30,24.22984659,67.37768353,6.840927967,122.4073418,coffee
33,29,34,31.40948821,49.21729127,6.832979509,92.99739415,mango
19,24,15,20.48954522,93.72485075,7.137136973,111.8391951,orange
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,blackgram
15,11,38,23.12808226,92.68328358,6.630646083,109.3930157,pomegranate
11,71,24,21.14011423,22.7182355,5.606620346,141.6056722,kidneybeans
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
33,77,21,30.32992227,65.62971858,7.01285529,71.64631281,blackgram
14,140,197,23.35225078,90.90054697,6.071255131,113.0381382,apple
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,mungbean
8,28,38,23.22594,94.42971362,6.8444019,105.6917856,pomegranate
116,5,54,25.37601283,80.99313508,6.65398725,57.23028471,watermelon
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
29,139,205,23.64142354,93.74461474,6.155939453,116.6912176,apple
0,5,36,24.35193812,90.88612388,6.152906502,105.529185,pomegranate
92,81,52,27.39341554,81.4654833,6.438137279,94.31102057,banana
8,23,44,18.47412402,89.68919664,7.130837931,108.4758509,pomegranate
31,51,25,27.53592929,85.5701901,7.196774236,53.01899249,mungbean
26,135,203,33.78372897,81.16314317,5.685102769,74.53557341,grapes
37,38,32,31.85744939,45.53106268,5.417340525,91.55845821,mango
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,blackgram
15,45,23,24.20422636,61.43378674,7.224193642,46.0203959,mothbeans
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,grapes
16,143,197,22.61711614,93.51978375,5.90402645,116.9256766,apple
14,22,9,17.24944623,91.13772765,6.543191814,112.5090516,orange
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
118,88,52,28.65003945,82.68752542,5.843163161,98.75084366,banana
61,64,52,43.30204933,92.83405443,6.641098708,110.562229,papaya
7,31,27,31.32863689,47.59319575,6.524114355,94.67344737,mango
19,30,30,29.56549169,91.40896307,5.826381164,224.8315729,coconut
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
111,40,25,24.484692,84.44932014,6.187455799,90.94342484,cotton
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana
39,9,15,25.35467646,91.81183218,7.992041984,116.7555937,orange
123,50,16,23.04920461,75.53835214,6.498052108,70.65644296,cotton
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice
105,14,50,26.2148837,87.6883982,6.419052193,59.65590798,watermelon
39,5,31,27.10134661,93.69979946,5.551963184,150.9502632,coconut
31,11,45,24.83954414,86.88738076,6.034612928,107.6435771,pomegranate
14,59,15,21.35135729,22.91244883,5.779090476,146.4548645,kidneybeans
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram
1,135,203,22.77856513,92.70124029,5.624203283,113.7759219,apple
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,kidneybeans
111,50,15,25.16820129,80.30351815,7.884550475,84.62419032,cotton
30,41,15,24.83206631,44.17085032,5.88509677,52.0810886,mothbeans
9,141,202,21.01245395,81.17931863,6.119495295,66.38448261,grapes
25,22,25,33.56150184,45.53556603,5.977413803,95.70525913,mango
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,chickpea
40,78,20,19.18572809,20.83398341,5.669236258,80.15293435,kidneybeans
27,61,15,25.2653291,67.10004577,6.958054839,48.33941188,lentil
3,69,23,28.67408774,63.18832976,7.299360767,42.96018627,lentil
40,30,35,20.89273273,91.07776977,6.269663963,104.4407083,pomegranate
1,124,199,23.71059131,93.27392415,5.658473817,112.6676589,apple
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,chickpea
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,chickpea
22,26,38,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate
4,19,42,23.83185873,87.84034604,6.306605528,111.2232716,pomegranate
91,41,37,24.48556447,83.20630007,6.132570523,192.2316221,jute
25,143,198,22.81212536,91.51861705,6.027314401,107.855225,apple
76,44,45,25.4879684,84.48235878,6.740947635,168.7848886,jute
20,73,22,16.03768615,22.33195853,5.976312538,130.3900798,kidneybeans
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,mungbean
78,46,42,23.09499564,78.45959697,7.095413294,155.3851533,jute
91,13,47,29.10968327,92.43510994,6.14410903,27.95602304,muskmelon
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
32,141,203,21.25941052,92.84416234,5.821347769,109.0658471,apple
83,9,45,25.85483596,89.13163965,6.049609892,46.85176955,watermelon
0,74,17,23.33375853,64.50515776,7.240988401,47.01510708,lentil
23,138,195,22.49095104,91.70292746,5.795985716,124.3915101,apple
4,43,18,29.02955344,61.09387478,8.840656256,72.98016599,mothbeans
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
6,72,15,22.99451999,66.70897237,7.670178119,54.49044154,lentil
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea
15,11,38,23.12808226,92.68328358,6.630646083,109.3930157,pomegranate
107,31,31,23.17124551,52.97841162,6.766184468,153.1201644,coffee
42,58,25,27.45853567,62.90020977,6.513620918,69.46020927,blackgram
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
67,68,49,35.26824831,92.38282957,6.821774589,149.8488208,papaya
40,121,199,26.18159716,81.03886263,6.315586313,66.05911698,grapes
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea
11,71,24,21.14011423,22.7182355,5.606620346,141.6056722,kidneybeans
37,72,18,18.87614998,24.54038287,5.724242065,105.4120514,kidneybeans
116,81,55,26.42313317,83.6995044,5.915546415,95.12322062,banana
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,blackgram
55,78,21,33.39438752,62.93692886,6.602888249,63.57445989,blackgram
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,chickpea
22,9,44,24.72235539,88.87651295,5.744361602,112.1926517,pomegranate
11,60,23,27.33684386,88.50229102,7.033012777,51.09802625,mungbean
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,blackgram
5,25,6,30.72119881,94.01331956,6.011302181,106.8118019,orange
37,18,30,27.63551259,99.34854917,6.38488418,157.9171537,coconut
45,58,49,30.10773379,90.34546355,6.827812549,75.24521981,papaya
19,123,200,34.76086052,81.03544763,6.167013532,65.70430027,grapes
26,66,22,18.06486101,65.1034354,6.300479414,51.54922825,lentil
25,64,20,33.15122581,32.45974539,4.807776749,105.0380275,pigeonpeas
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize
84,40,42,26.2830571,73.35763537,6.704273839,186.6898282,jute
44,63,15,26.42333018,64.51136845,7.338929556,63.46546487,blackgram
66,58,35,23.5643831,79.46283115,7.321619041,185.25947,jute
32,141,204,8.825674745,82.89753705,5.536645599,67.235765,grapes
16,71,24,18.33124824,38.40975482,4.946369874,139.6483317,pigeonpeas
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,chickpea
70,43,40,24.35564134,88.80391021,6.176860192,169.1168028,jute
8,26,26,25.54759871,91.64194826,5.702484758,212.867626,coconut
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,kidneybeans
16,15,42,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate
12,61,19,19.33162606,24.13995025,5.655726817,68.51253427,kidneybeans
13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,apple
37,18,12,10.2708877,90.19147747,7.401121811,106.6955204,orange
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,lentil
70,68,45,33.83508569,92.85470152,6.991626158,203.4044028,papaya
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana
114,8,50,24.74631269,88.30866319,6.581587932,57.95826144,watermelon
14,69,19,20.95628486,63.68128841,7.239455147,52.39881209,lentil
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,kidneybeans
12,29,13,22.45616931,91.52781832,7.57125447,118.0069295,orange
51,57,55,24.70528368,90.14732171,6.676407337,108.4103158,papaya
94,26,27,26.36629861,52.25738495,7.456460375,177.3176161,coffee
38,135,203,23.76121837,93.661643,5.965551311,100.825956,apple
102,11,47,27.98780984,92.78226196,6.504906979,27.14509034,muskmelon
11,122,195,12.14190714,83.56812483,5.647202395,69.63122027,grapes
21,6,41,24.88244467,89.39686219,7.086947687,107.1951707,pomegranate
28,57,17,30.47757686,61.58245338,9.416003106,61.86633917,mothbeans
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,chickpea
117,43,25,24.68854799,78.51206972,7.839849298,69.31153566,cotton
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
18,20,26,31.66524687,51.98594645,5.435840509,89.98024312,mango
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,chickpea
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana
